City,Date,Air Quality,Index Value,,,,,,,,,,,,,,,,,,,
Lucknow,01-07-2018,Very Poor,378,,,,,,,,,,,,,,,,,,,
Ludhiana,01-07-2018,Moderate,168,,,,,,,,,,,,,,,,,,,
Mumbai,01-07-2018,Moderate,119,,,,,,,,,,,,,,,,,,,
Nagpur,01-07-2018,Moderate,184,,,,,,,,,,,,,,,,,,,
Noida,01-07-2018,Very Poor,360,,,,,,,,,,,,,,,,,,,
Patna,01-07-2018,Very Poor,384,,,,,,,,,,,,,,,,,,,
Pune,01-07-2018,Satisfactory,63,,,,,,,,,,,,,,,,,,,
Siliguri,01-08-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-07-2018,Moderate,188,,,,,,,,,,,,,,,,,,,
Varanasi,01-07-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-07-2018,Poor,201,,,,,,,,,,,,,,,,,,,
Agra,01-08-2018,Very Poor,315,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-08-2018,Moderate,180,,,,,,,,,,,,,,,,,,,
Ajmer,01-08-2018,Moderate,116,,,,,,,,,,,,,,,,,,,
Asansol,01-08-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-08-2018,Satisfactory,95,,,,,,,,,,,,,,,,,,,
Chennai,01-08-2018,Moderate,128,,,,,,,,,,,,,,,,,,,
Delhi,01-08-2018,Poor,289,,,,,,,,,,,,,,,,,,,
Gurgaon,01-08-2018,Poor,291,,,,,,,,,,,,,,,,,,,
Hyderabad,01-08-2018,Moderate,145,,,,,,,,,,,,,,,,,,,
Jaipur,01-08-2018,Moderate,160,,,,,,,,,,,,,,,,,,,
Kanpur,01-08-2018,,,,,,,,,,,,,,,,,,,,,
Kolkata,01-08-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-08-2018,Very Poor,400,,,,,,,,,,,,,,,,,,,
Ludhiana,01-08-2018,Moderate,137,,,,,,,,,,,,,,,,,,,
Mumbai,01-08-2018,Moderate,129,,,,,,,,,,,,,,,,,,,
Nagpur,01-08-2018,Moderate,168,,,,,,,,,,,,,,,,,,,
Noida,01-08-2018,Moderate,183,,,,,,,,,,,,,,,,,,,
Patna,01-08-2018,,,,,,,,,,,,,,,,,,,,,
Pune,01-08-2018,Satisfactory,65,,,,,,,,,,,,,,,,,,,
Siliguri,01-08-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-08-2018,Moderate,125,,,,,,,,,,,,,,,,,,,
Varanasi,01-08-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-08-2018,Poor,235,,,,,,,,,,,,,,,,,,,
Agra,01-09-2018,Very Poor,359,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-09-2018,Moderate,118,,,,,,,,,,,,,,,,,,,
